"Var1","Var2","value"
"aod_mix_74","aod_mix_09",0.828
"aod_mix_01","aod_mix_10",0.901
"aod_mix_02","aod_mix_10",0.904
"aod_mix_03","aod_mix_10",0.908
"aod_mix_04","aod_mix_10",0.916
"aod_mix_05","aod_mix_10",0.927
"aod_mix_06","aod_mix_10",0.941
"aod_mix_07","aod_mix_10",0.956
"aod_mix_08","aod_mix_10",0.973
"aod_mix_09","aod_mix_10",0.988
"aod_mix_10","aod_mix_10",1
"aod_mix_11","aod_mix_10",0.932
"aod_mix_12","aod_mix_10",0.934
"aod_mix_13","aod_mix_10",0.937
"aod_mix_14","aod_mix_10",0.944
"aod_mix_15","aod_mix_10",0.952
"aod_mix_16","aod_mix_10",0.96
"aod_mix_17","aod_mix_10",0.97
"aod_mix_18","aod_mix_10",0.978
"aod_mix_19","aod_mix_10",0.981
"aod_mix_20","aod_mix_10",0.976
"aod_mix_21","aod_mix_10",0.956
"aod_mix_22","aod_mix_10",0.958
"aod_mix_23","aod_mix_10",0.96
"aod_mix_24","aod_mix_10",0.965
"aod_mix_25","aod_mix_10",0.968
"aod_mix_26","aod_mix_10",0.97
"aod_mix_27","aod_mix_10",0.97
"aod_mix_28","aod_mix_10",0.967
"aod_mix_29","aod_mix_10",0.96
"aod_mix_30","aod_mix_10",0.951
"aod_mix_31","aod_mix_10",0.887
"aod_mix_32","aod_mix_10",0.89
"aod_mix_33","aod_mix_10",0.893
"aod_mix_34","aod_mix_10",0.902
"aod_mix_35","aod_mix_10",0.914
"aod_mix_36","aod_mix_10",0.928
"aod_mix_37","aod_mix_10",0.941
"aod_mix_38","aod_mix_10",0.952
"aod_mix_39","aod_mix_10",0.959
"aod_mix_40","aod_mix_10",0.957
"aod_mix_41","aod_mix_10",0.734
"aod_mix_42","aod_mix_10",0.731
"aod_mix_43","aod_mix_10",0.733
"aod_mix_44","aod_mix_10",0.746
"aod_mix_45","aod_mix_10",0.769
"aod_mix_46","aod_mix_10",0.8
"aod_mix_47","aod_mix_10",0.836
"aod_mix_48","aod_mix_10",0.874
"aod_mix_49","aod_mix_10",0.906
"aod_mix_50","aod_mix_10",0.925
"aod_mix_51","aod_mix_10",0.942
"aod_mix_52","aod_mix_10",0.963
"aod_mix_53","aod_mix_10",0.958
"aod_mix_54","aod_mix_10",0.946
"aod_mix_55","aod_mix_10",0.956
"aod_mix_56","aod_mix_10",0.927
"aod_mix_57","aod_mix_10",0.944
"aod_mix_58","aod_mix_10",0.935
"aod_mix_59","aod_mix_10",0.905
"aod_mix_60","aod_mix_10",0.914
"aod_mix_61","aod_mix_10",0.904
"aod_mix_62","aod_mix_10",0.888
"aod_mix_63","aod_mix_10",0.933
"aod_mix_64","aod_mix_10",0.917
"aod_mix_65","aod_mix_10",0.897
"aod_mix_66","aod_mix_10",0.875
"aod_mix_67","aod_mix_10",0.897
"aod_mix_68","aod_mix_10",0.868
"aod_mix_69","aod_mix_10",0.839
"aod_mix_70","aod_mix_10",0.82
"aod_mix_71","aod_mix_10",0.857
"aod_mix_72","aod_mix_10",0.842
"aod_mix_73","aod_mix_10",0.831
"aod_mix_74","aod_mix_10",0.819
"aod_mix_01","aod_mix_11",0.944
"aod_mix_02","aod_mix_11",0.945
"aod_mix_03","aod_mix_11",0.946
"aod_mix_04","aod_mix_11",0.948
"aod_mix_05","aod_mix_11",0.953
"aod_mix_06","aod_mix_11",0.956
"aod_mix_07","aod_mix_11",0.96
"aod_mix_08","aod_mix_11",0.96
"aod_mix_09","aod_mix_11",0.951
"aod_mix_10","aod_mix_11",0.932
"aod_mix_11","aod_mix_11",1
"aod_mix_12","aod_mix_11",0.997
"aod_mix_13","aod_mix_11",0.995
"aod_mix_14","aod_mix_11",0.991
"aod_mix_15","aod_mix_11",0.987
"aod_mix_16","aod_mix_11",0.98
"aod_mix_17","aod_mix_11",0.968
"aod_mix_18","aod_mix_11",0.952
"aod_mix_19","aod_mix_11",0.931
"aod_mix_20","aod_mix_11",0.902
"aod_mix_21","aod_mix_11",0.952
"aod_mix_22","aod_mix_11",0.949
"aod_mix_23","aod_mix_11",0.945
"aod_mix_24","aod_mix_11",0.938
"aod_mix_25","aod_mix_11",0.929
"aod_mix_26","aod_mix_11",0.918
"aod_mix_27","aod_mix_11",0.906
"aod_mix_28","aod_mix_11",0.891
"aod_mix_29","aod_mix_11",0.876
"aod_mix_30","aod_mix_11",0.859
"aod_mix_31","aod_mix_11",0.948
"aod_mix_32","aod_mix_11",0.947
"aod_mix_33","aod_mix_11",0.946
"aod_mix_34","aod_mix_11",0.944
"aod_mix_35","aod_mix_11",0.941
"aod_mix_36","aod_mix_11",0.936
"aod_mix_37","aod_mix_11",0.929
"aod_mix_38","aod_mix_11",0.917
"aod_mix_39","aod_mix_11",0.9
"aod_mix_40","aod_mix_11",0.879
"aod_mix_41","aod_mix_11",0.777
"aod_mix_42","aod_mix_11",0.769
"aod_mix_43","aod_mix_11",0.765
"aod_mix_44","aod_mix_11",0.767
"aod_mix_45","aod_mix_11",0.778
"aod_mix_46","aod_mix_11",0.795
"aod_mix_47","aod_mix_11",0.815
"aod_mix_48","aod_mix_11",0.834
"aod_mix_49","aod_mix_11",0.845
"aod_mix_50","aod_mix_11",0.845
"aod_mix_51","aod_mix_11",0.985
"aod_mix_52","aod_mix_11",0.961
"aod_mix_53","aod_mix_11",0.883
"aod_mix_54","aod_mix_11",0.958
"aod_mix_55","aod_mix_11",0.931
"aod_mix_56","aod_mix_11",0.862
"aod_mix_57","aod_mix_11",0.923
"aod_mix_58","aod_mix_11",0.898
"aod_mix_59","aod_mix_11",0.853
"aod_mix_60","aod_mix_11",0.882
"aod_mix_61","aod_mix_11",0.868
"aod_mix_62","aod_mix_11",0.849
"aod_mix_63","aod_mix_11",0.918
"aod_mix_64","aod_mix_11",0.902
"aod_mix_65","aod_mix_11",0.882
"aod_mix_66","aod_mix_11",0.861
"aod_mix_67","aod_mix_11",0.869
"aod_mix_68","aod_mix_11",0.845
"aod_mix_69","aod_mix_11",0.822
"aod_mix_70","aod_mix_11",0.808
"aod_mix_71","aod_mix_11",0.839
"aod_mix_72","aod_mix_11",0.833
"aod_mix_73","aod_mix_11",0.83
"aod_mix_74","aod_mix_11",0.823
"aod_mix_01","aod_mix_12",0.941
"aod_mix_02","aod_mix_12",0.942
"aod_mix_03","aod_mix_12",0.944
"aod_mix_04","aod_mix_12",0.946
"aod_mix_05","aod_mix_12",0.951
"aod_mix_06","aod_mix_12",0.955
"aod_mix_07","aod_mix_12",0.959
"aod_mix_08","aod_mix_12",0.961
"aod_mix_09","aod_mix_12",0.952
"aod_mix_10","aod_mix_12",0.934
"aod_mix_11","aod_mix_12",0.997
"aod_mix_12","aod_mix_12",1
"aod_mix_13","aod_mix_12",0.997
"aod_mix_14","aod_mix_12",0.993
"aod_mix_15","aod_mix_12",0.989
"aod_mix_16","aod_mix_12",0.982
"aod_mix_17","aod_mix_12",0.972
"aod_mix_18","aod_mix_12",0.956
"aod_mix_19","aod_mix_12",0.935
"aod_mix_20","aod_mix_12",0.906
"aod_mix_21","aod_mix_12",0.955
"aod_mix_22","aod_mix_12",0.952
"aod_mix_23","aod_mix_12",0.949
"aod_mix_24","aod_mix_12",0.942
"aod_mix_25","aod_mix_12",0.933
"aod_mix_26","aod_mix_12",0.922
"aod_mix_27","aod_mix_12",0.91
"aod_mix_28","aod_mix_12",0.896
"aod_mix_29","aod_mix_12",0.88
"aod_mix_30","aod_mix_12",0.863
"aod_mix_31","aod_mix_12",0.948
"aod_mix_32","aod_mix_12",0.948
"aod_mix_33","aod_mix_12",0.948
"aod_mix_34","aod_mix_12",0.946
"aod_mix_35","aod_mix_12",0.944
"aod_mix_36","aod_mix_12",0.94
"aod_mix_37","aod_mix_12",0.932
"aod_mix_38","aod_mix_12",0.921
"aod_mix_39","aod_mix_12",0.905
"aod_mix_40","aod_mix_12",0.883
"aod_mix_41","aod_mix_12",0.778
"aod_mix_42","aod_mix_12",0.77
"aod_mix_43","aod_mix_12",0.767
"aod_mix_44","aod_mix_12",0.769
"aod_mix_45","aod_mix_12",0.78
"aod_mix_46","aod_mix_12",0.798
"aod_mix_47","aod_mix_12",0.819
"aod_mix_48","aod_mix_12",0.838
"aod_mix_49","aod_mix_12",0.849
"aod_mix_50","aod_mix_12",0.85
"aod_mix_51","aod_mix_12",0.987
"aod_mix_52","aod_mix_12",0.965
"aod_mix_53","aod_mix_12",0.887
"aod_mix_54","aod_mix_12",0.961
"aod_mix_55","aod_mix_12",0.934
"aod_mix_56","aod_mix_12",0.866
"aod_mix_57","aod_mix_12",0.925
"aod_mix_58","aod_mix_12",0.901
"aod_mix_59","aod_mix_12",0.855
"aod_mix_60","aod_mix_12",0.883
"aod_mix_61","aod_mix_12",0.869
"aod_mix_62","aod_mix_12",0.851
"aod_mix_63","aod_mix_12",0.92
"aod_mix_64","aod_mix_12",0.903
"aod_mix_65","aod_mix_12",0.883
"aod_mix_66","aod_mix_12",0.863
"aod_mix_67","aod_mix_12",0.87
"aod_mix_68","aod_mix_12",0.846
"aod_mix_69","aod_mix_12",0.822
"aod_mix_70","aod_mix_12",0.809
"aod_mix_71","aod_mix_12",0.839
"aod_mix_72","aod_mix_12",0.833
"aod_mix_73","aod_mix_12",0.829
"aod_mix_74","aod_mix_12",0.823
"aod_mix_01","aod_mix_13",0.937
"aod_mix_02","aod_mix_13",0.939
"aod_mix_03","aod_mix_13",0.941
"aod_mix_04","aod_mix_13",0.944
"aod_mix_05","aod_mix_13",0.949
"aod_mix_06","aod_mix_13",0.954
"aod_mix_07","aod_mix_13",0.958
"aod_mix_08","aod_mix_13",0.961
"aod_mix_09","aod_mix_13",0.954
"aod_mix_10","aod_mix_13",0.937
"aod_mix_11","aod_mix_13",0.995
"aod_mix_12","aod_mix_13",0.997
"aod_mix_13","aod_mix_13",1
"aod_mix_14","aod_mix_13",0.995
"aod_mix_15","aod_mix_13",0.991
"aod_mix_16","aod_mix_13",0.985
"aod_mix_17","aod_mix_13",0.975
"aod_mix_18","aod_mix_13",0.96
"aod_mix_19","aod_mix_13",0.939
"aod_mix_20","aod_mix_13",0.911
"aod_mix_21","aod_mix_13",0.958
"aod_mix_22","aod_mix_13",0.955
"aod_mix_23","aod_mix_13",0.953
"aod_mix_24","aod_mix_13",0.946
"aod_mix_25","aod_mix_13",0.937
"aod_mix_26","aod_mix_13",0.927
"aod_mix_27","aod_mix_13",0.915
"aod_mix_28","aod_mix_13",0.901
"aod_mix_29","aod_mix_13",0.885
"aod_mix_30","aod_mix_13",0.868
"aod_mix_31","aod_mix_13",0.948
"aod_mix_32","aod_mix_13",0.949
"aod_mix_33","aod_mix_13",0.949
"aod_mix_34","aod_mix_13",0.948
"aod_mix_35","aod_mix_13",0.946
"aod_mix_36","aod_mix_13",0.943
"aod_mix_37","aod_mix_13",0.936
"aod_mix_38","aod_mix_13",0.925
"aod_mix_39","aod_mix_13",0.91
"aod_mix_40","aod_mix_13",0.888
"aod_mix_41","aod_mix_13",0.778
"aod_mix_42","aod_mix_13",0.771
"aod_mix_43","aod_mix_13",0.769
"aod_mix_44","aod_mix_13",0.772
"aod_mix_45","aod_mix_13",0.783
"aod_mix_46","aod_mix_13",0.801
"aod_mix_47","aod_mix_13",0.823
"aod_mix_48","aod_mix_13",0.842
"aod_mix_49","aod_mix_13",0.854
"aod_mix_50","aod_mix_13",0.855
"aod_mix_51","aod_mix_13",0.988
"aod_mix_52","aod_mix_13",0.968
"aod_mix_53","aod_mix_13",0.892
"aod_mix_54","aod_mix_13",0.963
"aod_mix_55","aod_mix_13",0.937
"aod_mix_56","aod_mix_13",0.869
"aod_mix_57","aod_mix_13",0.927
"aod_mix_58","aod_mix_13",0.903
"aod_mix_59","aod_mix_13",0.858
"aod_mix_60","aod_mix_13",0.884
"aod_mix_61","aod_mix_13",0.871
"aod_mix_62","aod_mix_13",0.852
"aod_mix_63","aod_mix_13",0.922
"aod_mix_64","aod_mix_13",0.905
"aod_mix_65","aod_mix_13",0.885
"aod_mix_66","aod_mix_13",0.864
"aod_mix_67","aod_mix_13",0.871
"aod_mix_68","aod_mix_13",0.847
"aod_mix_69","aod_mix_13",0.823
"aod_mix_70","aod_mix_13",0.809
"aod_mix_71","aod_mix_13",0.839
"aod_mix_72","aod_mix_13",0.833
"aod_mix_73","aod_mix_13",0.829
"aod_mix_74","aod_mix_13",0.822
"aod_mix_01","aod_mix_14",0.93
"aod_mix_02","aod_mix_14",0.932
"aod_mix_03","aod_mix_14",0.934
"aod_mix_04","aod_mix_14",0.939
"aod_mix_05","aod_mix_14",0.944
"aod_mix_06","aod_mix_14",0.951
"aod_mix_07","aod_mix_14",0.957
"aod_mix_08","aod_mix_14",0.961
"aod_mix_09","aod_mix_14",0.958
"aod_mix_10","aod_mix_14",0.944
"aod_mix_11","aod_mix_14",0.991
"aod_mix_12","aod_mix_14",0.993
"aod_mix_13","aod_mix_14",0.995
"aod_mix_14","aod_mix_14",1
"aod_mix_15","aod_mix_14",0.995
"aod_mix_16","aod_mix_14",0.99
"aod_mix_17","aod_mix_14",0.982
"aod_mix_18","aod_mix_14",0.968
"aod_mix_19","aod_mix_14",0.949
"aod_mix_20","aod_mix_14",0.922
"aod_mix_21","aod_mix_14",0.963
"aod_mix_22","aod_mix_14",0.962
"aod_mix_23","aod_mix_14",0.959
"aod_mix_24","aod_mix_14",0.954
"aod_mix_25","aod_mix_14",0.946
"aod_mix_26","aod_mix_14",0.936
"aod_mix_27","aod_mix_14",0.925
"aod_mix_28","aod_mix_14",0.911
"aod_mix_29","aod_mix_14",0.896
"aod_mix_30","aod_mix_14",0.879
"aod_mix_31","aod_mix_14",0.948
"aod_mix_32","aod_mix_14",0.949
"aod_mix_33","aod_mix_14",0.95
"aod_mix_34","aod_mix_14",0.952
"aod_mix_35","aod_mix_14",0.952
"aod_mix_36","aod_mix_14",0.95
"aod_mix_37","aod_mix_14",0.944
"aod_mix_38","aod_mix_14",0.935
"aod_mix_39","aod_mix_14",0.92
"aod_mix_40","aod_mix_14",0.899
"aod_mix_41","aod_mix_14",0.779
"aod_mix_42","aod_mix_14",0.773
"aod_mix_43","aod_mix_14",0.771
"aod_mix_44","aod_mix_14",0.777
"aod_mix_45","aod_mix_14",0.789
"aod_mix_46","aod_mix_14",0.808
"aod_mix_47","aod_mix_14",0.831
"aod_mix_48","aod_mix_14",0.851
"aod_mix_49","aod_mix_14",0.864
"aod_mix_50","aod_mix_14",0.865
"aod_mix_51","aod_mix_14",0.991
"aod_mix_52","aod_mix_14",0.975
"aod_mix_53","aod_mix_14",0.902
"aod_mix_54","aod_mix_14",0.967
"aod_mix_55","aod_mix_14",0.944
"aod_mix_56","aod_mix_14",0.878
"aod_mix_57","aod_mix_14",0.931
"aod_mix_58","aod_mix_14",0.908
"aod_mix_59","aod_mix_14",0.864
"aod_mix_60","aod_mix_14",0.887
"aod_mix_61","aod_mix_14",0.873
"aod_mix_62","aod_mix_14",0.855
"aod_mix_63","aod_mix_14",0.926
"aod_mix_64","aod_mix_14",0.909
"aod_mix_65","aod_mix_14",0.888
"aod_mix_66","aod_mix_14",0.867
"aod_mix_67","aod_mix_14",0.873
"aod_mix_68","aod_mix_14",0.849
"aod_mix_69","aod_mix_14",0.824
"aod_mix_70","aod_mix_14",0.81
"aod_mix_71","aod_mix_14",0.839
"aod_mix_72","aod_mix_14",0.832
"aod_mix_73","aod_mix_14",0.827
"aod_mix_74","aod_mix_14",0.82
"aod_mix_01","aod_mix_15",0.921
"aod_mix_02","aod_mix_15",0.924
"aod_mix_03","aod_mix_15",0.926
"aod_mix_04","aod_mix_15",0.932
"aod_mix_05","aod_mix_15",0.939
"aod_mix_06","aod_mix_15",0.947
"aod_mix_07","aod_mix_15",0.955
"aod_mix_08","aod_mix_15",0.961
"aod_mix_09","aod_mix_15",0.963
"aod_mix_10","aod_mix_15",0.952
"aod_mix_11","aod_mix_15",0.987
"aod_mix_12","aod_mix_15",0.989
"aod_mix_13","aod_mix_15",0.991
"aod_mix_14","aod_mix_15",0.995
"aod_mix_15","aod_mix_15",1
"aod_mix_16","aod_mix_15",0.994
"aod_mix_17","aod_mix_15",0.988
"aod_mix_18","aod_mix_15",0.977
"aod_mix_19","aod_mix_15",0.96
"aod_mix_20","aod_mix_15",0.934
"aod_mix_21","aod_mix_15",0.968
"aod_mix_22","aod_mix_15",0.967
"aod_mix_23","aod_mix_15",0.966
"aod_mix_24","aod_mix_15",0.962
"aod_mix_25","aod_mix_15",0.956
"aod_mix_26","aod_mix_15",0.947
"aod_mix_27","aod_mix_15",0.936
"aod_mix_28","aod_mix_15",0.924
"aod_mix_29","aod_mix_15",0.909
"aod_mix_30","aod_mix_15",0.892
"aod_mix_31","aod_mix_15",0.946
"aod_mix_32","aod_mix_15",0.948
"aod_mix_33","aod_mix_15",0.95
"aod_mix_34","aod_mix_15",0.953
"aod_mix_35","aod_mix_15",0.956
"aod_mix_36","aod_mix_15",0.956
"aod_mix_37","aod_mix_15",0.953
"aod_mix_38","aod_mix_15",0.945
"aod_mix_39","aod_mix_15",0.932
"aod_mix_40","aod_mix_15",0.912
"aod_mix_41","aod_mix_15",0.779
"aod_mix_42","aod_mix_15",0.774
"aod_mix_43","aod_mix_15",0.773
"aod_mix_44","aod_mix_15",0.781
"aod_mix_45","aod_mix_15",0.795
"aod_mix_46","aod_mix_15",0.816
"aod_mix_47","aod_mix_15",0.84
"aod_mix_48","aod_mix_15",0.862
"aod_mix_49","aod_mix_15",0.876
"aod_mix_50","aod_mix_15",0.879
"aod_mix_51","aod_mix_15",0.992
"aod_mix_52","aod_mix_15",0.982
"aod_mix_53","aod_mix_15",0.914
"aod_mix_54","aod_mix_15",0.97
"aod_mix_55","aod_mix_15",0.951
"aod_mix_56","aod_mix_15",0.888
"aod_mix_57","aod_mix_15",0.935
"aod_mix_58","aod_mix_15",0.913
"aod_mix_59","aod_mix_15",0.871
"aod_mix_60","aod_mix_15",0.89
"aod_mix_61","aod_mix_15",0.877
"aod_mix_62","aod_mix_15",0.859
"aod_mix_63","aod_mix_15",0.93
"aod_mix_64","aod_mix_15",0.913
"aod_mix_65","aod_mix_15",0.892
"aod_mix_66","aod_mix_15",0.871
"aod_mix_67","aod_mix_15",0.876
"aod_mix_68","aod_mix_15",0.851
"aod_mix_69","aod_mix_15",0.826
"aod_mix_70","aod_mix_15",0.811
"aod_mix_71","aod_mix_15",0.84
"aod_mix_72","aod_mix_15",0.831
"aod_mix_73","aod_mix_15",0.826
"aod_mix_74","aod_mix_15",0.818
"aod_mix_01","aod_mix_16",0.911
"aod_mix_02","aod_mix_16",0.914
"aod_mix_03","aod_mix_16",0.916
"aod_mix_04","aod_mix_16",0.923
"aod_mix_05","aod_mix_16",0.932
"aod_mix_06","aod_mix_16",0.941
"aod_mix_07","aod_mix_16",0.952
"aod_mix_08","aod_mix_16",0.962
"aod_mix_09","aod_mix_16",0.967
"aod_mix_10","aod_mix_16",0.96
"aod_mix_11","aod_mix_16",0.98
"aod_mix_12","aod_mix_16",0.982
"aod_mix_13","aod_mix_16",0.985
"aod_mix_14","aod_mix_16",0.99
"aod_mix_15","aod_mix_16",0.994
"aod_mix_16","aod_mix_16",1
"aod_mix_17","aod_mix_16",0.994
"aod_mix_18","aod_mix_16",0.986
"aod_mix_19","aod_mix_16",0.972
"aod_mix_20","aod_mix_16",0.948
"aod_mix_21","aod_mix_16",0.972
"aod_mix_22","aod_mix_16",0.972
"aod_mix_23","aod_mix_16",0.971
"aod_mix_24","aod_mix_16",0.969
"aod_mix_25","aod_mix_16",0.965
"aod_mix_26","aod_mix_16",0.959
"aod_mix_27","aod_mix_16",0.949
"aod_mix_28","aod_mix_16",0.938
"aod_mix_29","aod_mix_16",0.924
"aod_mix_30","aod_mix_16",0.908
"aod_mix_31","aod_mix_16",0.941
"aod_mix_32","aod_mix_16",0.943
"aod_mix_33","aod_mix_16",0.947
"aod_mix_34","aod_mix_16",0.953
"aod_mix_35","aod_mix_16",0.958
"aod_mix_36","aod_mix_16",0.962
"aod_mix_37","aod_mix_16",0.962
"aod_mix_38","aod_mix_16",0.957
"aod_mix_39","aod_mix_16",0.946
"aod_mix_40","aod_mix_16",0.927
"aod_mix_41","aod_mix_16",0.778
"aod_mix_42","aod_mix_16",0.775
"aod_mix_43","aod_mix_16",0.775
"aod_mix_44","aod_mix_16",0.784
"aod_mix_45","aod_mix_16",0.801
"aod_mix_46","aod_mix_16",0.824
"aod_mix_47","aod_mix_16",0.85
"aod_mix_48","aod_mix_16",0.874
"aod_mix_49","aod_mix_16",0.891
"aod_mix_50","aod_mix_16",0.895
"aod_mix_51","aod_mix_16",0.988
"aod_mix_52","aod_mix_16",0.987
"aod_mix_53","aod_mix_16",0.928
"aod_mix_54","aod_mix_16",0.973
"aod_mix_55","aod_mix_16",0.957
"aod_mix_56","aod_mix_16",0.899
"aod_mix_57","aod_mix_16",0.94
"aod_mix_58","aod_mix_16",0.92
"aod_mix_59","aod_mix_16",0.879
"aod_mix_60","aod_mix_16",0.894
"aod_mix_61","aod_mix_16",0.882
"aod_mix_62","aod_mix_16",0.864
"aod_mix_63","aod_mix_16",0.934
"aod_mix_64","aod_mix_16",0.917
"aod_mix_65","aod_mix_16",0.896
"aod_mix_66","aod_mix_16",0.874
"aod_mix_67","aod_mix_16",0.88
"aod_mix_68","aod_mix_16",0.855
"aod_mix_69","aod_mix_16",0.829
"aod_mix_70","aod_mix_16",0.812
"aod_mix_71","aod_mix_16",0.841
"aod_mix_72","aod_mix_16",0.831
"aod_mix_73","aod_mix_16",0.825
"aod_mix_74","aod_mix_16",0.816
"aod_mix_01","aod_mix_17",0.898
"aod_mix_02","aod_mix_17",0.901
"aod_mix_03","aod_mix_17",0.904
"aod_mix_04","aod_mix_17",0.912
"aod_mix_05","aod_mix_17",0.921
"aod_mix_06","aod_mix_17",0.934
"aod_mix_07","aod_mix_17",0.947
"aod_mix_08","aod_mix_17",0.96
"aod_mix_09","aod_mix_17",0.97
"aod_mix_10","aod_mix_17",0.97
"aod_mix_11","aod_mix_17",0.968
"aod_mix_12","aod_mix_17",0.972
"aod_mix_13","aod_mix_17",0.975
"aod_mix_14","aod_mix_17",0.982
"aod_mix_15","aod_mix_17",0.988
"aod_mix_16","aod_mix_17",0.994
"aod_mix_17","aod_mix_17",1
"aod_mix_18","aod_mix_17",0.994
"aod_mix_19","aod_mix_17",0.983
"aod_mix_20","aod_mix_17",0.964
"aod_mix_21","aod_mix_17",0.974
"aod_mix_22","aod_mix_17",0.974
"aod_mix_23","aod_mix_17",0.975
"aod_mix_24","aod_mix_17",0.975
"aod_mix_25","aod_mix_17",0.974
"aod_mix_26","aod_mix_17",0.97
"aod_mix_27","aod_mix_17",0.963
"aod_mix_28","aod_mix_17",0.953
"aod_mix_29","aod_mix_17",0.941
"aod_mix_30","aod_mix_17",0.927
"aod_mix_31","aod_mix_17",0.932
"aod_mix_32","aod_mix_17",0.936
"aod_mix_33","aod_mix_17",0.939
"aod_mix_34","aod_mix_17",0.948
"aod_mix_35","aod_mix_17",0.957
"aod_mix_36","aod_mix_17",0.965
"aod_mix_37","aod_mix_17",0.969
"aod_mix_38","aod_mix_17",0.968
"aod_mix_39","aod_mix_17",0.96
"aod_mix_40","aod_mix_17",0.945
"aod_mix_41","aod_mix_17",0.776
"aod_mix_42","aod_mix_17",0.774
"aod_mix_43","aod_mix_17",0.775
"aod_mix_44","aod_mix_17",0.786
"aod_mix_45","aod_mix_17",0.805
"aod_mix_46","aod_mix_17",0.831
"aod_mix_47","aod_mix_17",0.86
"aod_mix_48","aod_mix_17",0.887
"aod_mix_49","aod_mix_17",0.907
"aod_mix_50","aod_mix_17",0.913
"aod_mix_51","aod_mix_17",0.981
"aod_mix_52","aod_mix_17",0.99
"aod_mix_53","aod_mix_17",0.943
"aod_mix_54","aod_mix_17",0.972
"aod_mix_55","aod_mix_17",0.963
"aod_mix_56","aod_mix_17",0.912
"aod_mix_57","aod_mix_17",0.944
"aod_mix_58","aod_mix_17",0.926
"aod_mix_59","aod_mix_17",0.888
"aod_mix_60","aod_mix_17",0.899
"aod_mix_61","aod_mix_17",0.887
"aod_mix_62","aod_mix_17",0.87
"aod_mix_63","aod_mix_17",0.937
"aod_mix_64","aod_mix_17",0.921
"aod_mix_65","aod_mix_17",0.9
"aod_mix_66","aod_mix_17",0.878
"aod_mix_67","aod_mix_17",0.885
"aod_mix_68","aod_mix_17",0.859
"aod_mix_69","aod_mix_17",0.832
"aod_mix_70","aod_mix_17",0.814
"aod_mix_71","aod_mix_17",0.843
"aod_mix_72","aod_mix_17",0.832
"aod_mix_73","aod_mix_17",0.824
"aod_mix_74","aod_mix_17",0.814
"aod_mix_01","aod_mix_18",0.881
"aod_mix_02","aod_mix_18",0.885
"aod_mix_03","aod_mix_18",0.888
"aod_mix_04","aod_mix_18",0.897
"aod_mix_05","aod_mix_18",0.908
"aod_mix_06","aod_mix_18",0.922
"aod_mix_07","aod_mix_18",0.938
"aod_mix_08","aod_mix_18",0.955
"aod_mix_09","aod_mix_18",0.97
"aod_mix_10","aod_mix_18",0.978
"aod_mix_11","aod_mix_18",0.952
"aod_mix_12","aod_mix_18",0.956
"aod_mix_13","aod_mix_18",0.96
"aod_mix_14","aod_mix_18",0.968
"aod_mix_15","aod_mix_18",0.977
"aod_mix_16","aod_mix_18",0.986
"aod_mix_17","aod_mix_18",0.994
"aod_mix_18","aod_mix_18",1
"aod_mix_19","aod_mix_18",0.993
"aod_mix_20","aod_mix_18",0.979
"aod_mix_21","aod_mix_18",0.973
"aod_mix_22","aod_mix_18",0.974
"aod_mix_23","aod_mix_18",0.975
"aod_mix_24","aod_mix_18",0.978
"aod_mix_25","aod_mix_18",0.979
"aod_mix_26","aod_mix_18",0.979
"aod_mix_27","aod_mix_18",0.975
"aod_mix_28","aod_mix_18",0.969
"aod_mix_29","aod_mix_18",0.959
"aod_mix_30","aod_mix_18",0.947
"aod_mix_31","aod_mix_18",0.92
"aod_mix_32","aod_mix_18",0.924
"aod_mix_33","aod_mix_18",0.928
"aod_mix_34","aod_mix_18",0.939
"aod_mix_35","aod_mix_18",0.95
"aod_mix_36","aod_mix_18",0.962
"aod_mix_37","aod_mix_18",0.972
"aod_mix_38","aod_mix_18",0.976
"aod_mix_39","aod_mix_18",0.973
"aod_mix_40","aod_mix_18",0.962
"aod_mix_41","aod_mix_18",0.77
"aod_mix_42","aod_mix_18",0.769
"aod_mix_43","aod_mix_18",0.772
"aod_mix_44","aod_mix_18",0.786
"aod_mix_45","aod_mix_18",0.807
"aod_mix_46","aod_mix_18",0.835
"aod_mix_47","aod_mix_18",0.868
"aod_mix_48","aod_mix_18",0.9
"aod_mix_49","aod_mix_18",0.923
"aod_mix_50","aod_mix_18",0.932
"aod_mix_51","aod_mix_18",0.97
"aod_mix_52","aod_mix_18",0.987
"aod_mix_53","aod_mix_18",0.959
"aod_mix_54","aod_mix_18",0.968
"aod_mix_55","aod_mix_18",0.967
"aod_mix_56","aod_mix_18",0.925
"aod_mix_57","aod_mix_18",0.947
"aod_mix_58","aod_mix_18",0.932
"aod_mix_59","aod_mix_18",0.897
"aod_mix_60","aod_mix_18",0.904
"aod_mix_61","aod_mix_18",0.893
"aod_mix_62","aod_mix_18",0.876
"aod_mix_63","aod_mix_18",0.94
"aod_mix_64","aod_mix_18",0.924
"aod_mix_65","aod_mix_18",0.903
"aod_mix_66","aod_mix_18",0.881
"aod_mix_67","aod_mix_18",0.89
"aod_mix_68","aod_mix_18",0.863
"aod_mix_69","aod_mix_18",0.835
"aod_mix_70","aod_mix_18",0.816
"aod_mix_71","aod_mix_18",0.845
"aod_mix_72","aod_mix_18",0.832
"aod_mix_73","aod_mix_18",0.822
