"Var1","Var2","value"
"aod_mix_05","aod_mix_03",0.987
"aod_mix_06","aod_mix_03",0.983
"aod_mix_07","aod_mix_03",0.977
"aod_mix_08","aod_mix_03",0.966
"aod_mix_09","aod_mix_03",0.943
"aod_mix_10","aod_mix_03",0.908
"aod_mix_11","aod_mix_03",0.946
"aod_mix_12","aod_mix_03",0.944
"aod_mix_13","aod_mix_03",0.941
"aod_mix_14","aod_mix_03",0.934
"aod_mix_15","aod_mix_03",0.926
"aod_mix_16","aod_mix_03",0.916
"aod_mix_17","aod_mix_03",0.904
"aod_mix_18","aod_mix_03",0.888
"aod_mix_19","aod_mix_03",0.867
"aod_mix_20","aod_mix_03",0.839
"aod_mix_21","aod_mix_03",0.894
"aod_mix_22","aod_mix_03",0.89
"aod_mix_23","aod_mix_03",0.887
"aod_mix_24","aod_mix_03",0.879
"aod_mix_25","aod_mix_03",0.87
"aod_mix_26","aod_mix_03",0.859
"aod_mix_27","aod_mix_03",0.846
"aod_mix_28","aod_mix_03",0.831
"aod_mix_29","aod_mix_03",0.815
"aod_mix_30","aod_mix_03",0.798
"aod_mix_31","aod_mix_03",0.881
"aod_mix_32","aod_mix_03",0.878
"aod_mix_33","aod_mix_03",0.875
"aod_mix_34","aod_mix_03",0.869
"aod_mix_35","aod_mix_03",0.864
"aod_mix_36","aod_mix_03",0.859
"aod_mix_37","aod_mix_03",0.852
"aod_mix_38","aod_mix_03",0.842
"aod_mix_39","aod_mix_03",0.829
"aod_mix_40","aod_mix_03",0.811
"aod_mix_41","aod_mix_03",0.704
"aod_mix_42","aod_mix_03",0.692
"aod_mix_43","aod_mix_03",0.685
"aod_mix_44","aod_mix_03",0.684
"aod_mix_45","aod_mix_03",0.694
"aod_mix_46","aod_mix_03",0.711
"aod_mix_47","aod_mix_03",0.732
"aod_mix_48","aod_mix_03",0.752
"aod_mix_49","aod_mix_03",0.767
"aod_mix_50","aod_mix_03",0.773
"aod_mix_51","aod_mix_03",0.921
"aod_mix_52","aod_mix_03",0.898
"aod_mix_53","aod_mix_03",0.824
"aod_mix_54","aod_mix_03",0.9
"aod_mix_55","aod_mix_03",0.877
"aod_mix_56","aod_mix_03",0.812
"aod_mix_57","aod_mix_03",0.88
"aod_mix_58","aod_mix_03",0.856
"aod_mix_59","aod_mix_03",0.813
"aod_mix_60","aod_mix_03",0.852
"aod_mix_61","aod_mix_03",0.839
"aod_mix_62","aod_mix_03",0.821
"aod_mix_63","aod_mix_03",0.872
"aod_mix_64","aod_mix_03",0.854
"aod_mix_65","aod_mix_03",0.835
"aod_mix_66","aod_mix_03",0.816
"aod_mix_67","aod_mix_03",0.837
"aod_mix_68","aod_mix_03",0.814
"aod_mix_69","aod_mix_03",0.794
"aod_mix_70","aod_mix_03",0.784
"aod_mix_71","aod_mix_03",0.822
"aod_mix_72","aod_mix_03",0.818
"aod_mix_73","aod_mix_03",0.816
"aod_mix_74","aod_mix_03",0.813
"aod_mix_01","aod_mix_04",0.987
"aod_mix_02","aod_mix_04",0.989
"aod_mix_03","aod_mix_04",0.991
"aod_mix_04","aod_mix_04",1
"aod_mix_05","aod_mix_04",0.991
"aod_mix_06","aod_mix_04",0.986
"aod_mix_07","aod_mix_04",0.982
"aod_mix_08","aod_mix_04",0.97
"aod_mix_09","aod_mix_04",0.951
"aod_mix_10","aod_mix_04",0.916
"aod_mix_11","aod_mix_04",0.948
"aod_mix_12","aod_mix_04",0.946
"aod_mix_13","aod_mix_04",0.944
"aod_mix_14","aod_mix_04",0.939
"aod_mix_15","aod_mix_04",0.932
"aod_mix_16","aod_mix_04",0.923
"aod_mix_17","aod_mix_04",0.912
"aod_mix_18","aod_mix_04",0.897
"aod_mix_19","aod_mix_04",0.876
"aod_mix_20","aod_mix_04",0.849
"aod_mix_21","aod_mix_04",0.9
"aod_mix_22","aod_mix_04",0.897
"aod_mix_23","aod_mix_04",0.894
"aod_mix_24","aod_mix_04",0.887
"aod_mix_25","aod_mix_04",0.878
"aod_mix_26","aod_mix_04",0.868
"aod_mix_27","aod_mix_04",0.855
"aod_mix_28","aod_mix_04",0.841
"aod_mix_29","aod_mix_04",0.825
"aod_mix_30","aod_mix_04",0.808
"aod_mix_31","aod_mix_04",0.883
"aod_mix_32","aod_mix_04",0.88
"aod_mix_33","aod_mix_04",0.877
"aod_mix_34","aod_mix_04",0.873
"aod_mix_35","aod_mix_04",0.869
"aod_mix_36","aod_mix_04",0.864
"aod_mix_37","aod_mix_04",0.859
"aod_mix_38","aod_mix_04",0.85
"aod_mix_39","aod_mix_04",0.838
"aod_mix_40","aod_mix_04",0.82
"aod_mix_41","aod_mix_04",0.706
"aod_mix_42","aod_mix_04",0.694
"aod_mix_43","aod_mix_04",0.688
"aod_mix_44","aod_mix_04",0.688
"aod_mix_45","aod_mix_04",0.699
"aod_mix_46","aod_mix_04",0.717
"aod_mix_47","aod_mix_04",0.739
"aod_mix_48","aod_mix_04",0.76
"aod_mix_49","aod_mix_04",0.776
"aod_mix_50","aod_mix_04",0.782
"aod_mix_51","aod_mix_04",0.926
"aod_mix_52","aod_mix_04",0.905
"aod_mix_53","aod_mix_04",0.834
"aod_mix_54","aod_mix_04",0.906
"aod_mix_55","aod_mix_04",0.884
"aod_mix_56","aod_mix_04",0.82
"aod_mix_57","aod_mix_04",0.886
"aod_mix_58","aod_mix_04",0.863
"aod_mix_59","aod_mix_04",0.82
"aod_mix_60","aod_mix_04",0.858
"aod_mix_61","aod_mix_04",0.845
"aod_mix_62","aod_mix_04",0.827
"aod_mix_63","aod_mix_04",0.878
"aod_mix_64","aod_mix_04",0.86
"aod_mix_65","aod_mix_04",0.841
"aod_mix_66","aod_mix_04",0.822
"aod_mix_67","aod_mix_04",0.843
"aod_mix_68","aod_mix_04",0.819
"aod_mix_69","aod_mix_04",0.798
"aod_mix_70","aod_mix_04",0.789
"aod_mix_71","aod_mix_04",0.827
"aod_mix_72","aod_mix_04",0.822
"aod_mix_73","aod_mix_04",0.82
"aod_mix_74","aod_mix_04",0.816
"aod_mix_01","aod_mix_05",0.984
"aod_mix_02","aod_mix_05",0.985
"aod_mix_03","aod_mix_05",0.987
"aod_mix_04","aod_mix_05",0.991
"aod_mix_05","aod_mix_05",1
"aod_mix_06","aod_mix_05",0.99
"aod_mix_07","aod_mix_05",0.985
"aod_mix_08","aod_mix_05",0.977
"aod_mix_09","aod_mix_05",0.959
"aod_mix_10","aod_mix_05",0.927
"aod_mix_11","aod_mix_05",0.953
"aod_mix_12","aod_mix_05",0.951
"aod_mix_13","aod_mix_05",0.949
"aod_mix_14","aod_mix_05",0.944
"aod_mix_15","aod_mix_05",0.939
"aod_mix_16","aod_mix_05",0.932
"aod_mix_17","aod_mix_05",0.921
"aod_mix_18","aod_mix_05",0.908
"aod_mix_19","aod_mix_05",0.889
"aod_mix_20","aod_mix_05",0.862
"aod_mix_21","aod_mix_05",0.908
"aod_mix_22","aod_mix_05",0.906
"aod_mix_23","aod_mix_05",0.903
"aod_mix_24","aod_mix_05",0.897
"aod_mix_25","aod_mix_05",0.889
"aod_mix_26","aod_mix_05",0.879
"aod_mix_27","aod_mix_05",0.867
"aod_mix_28","aod_mix_05",0.854
"aod_mix_29","aod_mix_05",0.838
"aod_mix_30","aod_mix_05",0.821
"aod_mix_31","aod_mix_05",0.886
"aod_mix_32","aod_mix_05",0.884
"aod_mix_33","aod_mix_05",0.882
"aod_mix_34","aod_mix_05",0.878
"aod_mix_35","aod_mix_05",0.876
"aod_mix_36","aod_mix_05",0.873
"aod_mix_37","aod_mix_05",0.869
"aod_mix_38","aod_mix_05",0.861
"aod_mix_39","aod_mix_05",0.85
"aod_mix_40","aod_mix_05",0.833
"aod_mix_41","aod_mix_05",0.71
"aod_mix_42","aod_mix_05",0.699
"aod_mix_43","aod_mix_05",0.693
"aod_mix_44","aod_mix_05",0.694
"aod_mix_45","aod_mix_05",0.706
"aod_mix_46","aod_mix_05",0.725
"aod_mix_47","aod_mix_05",0.748
"aod_mix_48","aod_mix_05",0.771
"aod_mix_49","aod_mix_05",0.788
"aod_mix_50","aod_mix_05",0.795
"aod_mix_51","aod_mix_05",0.932
"aod_mix_52","aod_mix_05",0.914
"aod_mix_53","aod_mix_05",0.846
"aod_mix_54","aod_mix_05",0.914
"aod_mix_55","aod_mix_05",0.894
"aod_mix_56","aod_mix_05",0.832
"aod_mix_57","aod_mix_05",0.895
"aod_mix_58","aod_mix_05",0.872
"aod_mix_59","aod_mix_05",0.83
"aod_mix_60","aod_mix_05",0.866
"aod_mix_61","aod_mix_05",0.853
"aod_mix_62","aod_mix_05",0.835
"aod_mix_63","aod_mix_05",0.886
"aod_mix_64","aod_mix_05",0.868
"aod_mix_65","aod_mix_05",0.849
"aod_mix_66","aod_mix_05",0.829
"aod_mix_67","aod_mix_05",0.851
"aod_mix_68","aod_mix_05",0.827
"aod_mix_69","aod_mix_05",0.805
"aod_mix_70","aod_mix_05",0.795
"aod_mix_71","aod_mix_05",0.833
"aod_mix_72","aod_mix_05",0.827
"aod_mix_73","aod_mix_05",0.825
"aod_mix_74","aod_mix_05",0.821
"aod_mix_01","aod_mix_06",0.981
"aod_mix_02","aod_mix_06",0.982
"aod_mix_03","aod_mix_06",0.983
"aod_mix_04","aod_mix_06",0.986
"aod_mix_05","aod_mix_06",0.99
"aod_mix_06","aod_mix_06",1
"aod_mix_07","aod_mix_06",0.99
"aod_mix_08","aod_mix_06",0.984
"aod_mix_09","aod_mix_06",0.969
"aod_mix_10","aod_mix_06",0.941
"aod_mix_11","aod_mix_06",0.956
"aod_mix_12","aod_mix_06",0.955
"aod_mix_13","aod_mix_06",0.954
"aod_mix_14","aod_mix_06",0.951
"aod_mix_15","aod_mix_06",0.947
"aod_mix_16","aod_mix_06",0.941
"aod_mix_17","aod_mix_06",0.934
"aod_mix_18","aod_mix_06",0.922
"aod_mix_19","aod_mix_06",0.904
"aod_mix_20","aod_mix_06",0.879
"aod_mix_21","aod_mix_06",0.919
"aod_mix_22","aod_mix_06",0.918
"aod_mix_23","aod_mix_06",0.915
"aod_mix_24","aod_mix_06",0.911
"aod_mix_25","aod_mix_06",0.904
"aod_mix_26","aod_mix_06",0.895
"aod_mix_27","aod_mix_06",0.884
"aod_mix_28","aod_mix_06",0.871
"aod_mix_29","aod_mix_06",0.856
"aod_mix_30","aod_mix_06",0.839
"aod_mix_31","aod_mix_06",0.891
"aod_mix_32","aod_mix_06",0.889
"aod_mix_33","aod_mix_06",0.888
"aod_mix_34","aod_mix_06",0.886
"aod_mix_35","aod_mix_06",0.885
"aod_mix_36","aod_mix_06",0.884
"aod_mix_37","aod_mix_06",0.882
"aod_mix_38","aod_mix_06",0.876
"aod_mix_39","aod_mix_06",0.866
"aod_mix_40","aod_mix_06",0.851
"aod_mix_41","aod_mix_06",0.715
"aod_mix_42","aod_mix_06",0.705
"aod_mix_43","aod_mix_06",0.701
"aod_mix_44","aod_mix_06",0.703
"aod_mix_45","aod_mix_06",0.716
"aod_mix_46","aod_mix_06",0.737
"aod_mix_47","aod_mix_06",0.761
"aod_mix_48","aod_mix_06",0.786
"aod_mix_49","aod_mix_06",0.804
"aod_mix_50","aod_mix_06",0.812
"aod_mix_51","aod_mix_06",0.94
"aod_mix_52","aod_mix_06",0.926
"aod_mix_53","aod_mix_06",0.863
"aod_mix_54","aod_mix_06",0.923
"aod_mix_55","aod_mix_06",0.906
"aod_mix_56","aod_mix_06",0.847
"aod_mix_57","aod_mix_06",0.905
"aod_mix_58","aod_mix_06",0.884
"aod_mix_59","aod_mix_06",0.843
"aod_mix_60","aod_mix_06",0.876
"aod_mix_61","aod_mix_06",0.863
"aod_mix_62","aod_mix_06",0.845
"aod_mix_63","aod_mix_06",0.897
"aod_mix_64","aod_mix_06",0.879
"aod_mix_65","aod_mix_06",0.859
"aod_mix_66","aod_mix_06",0.839
"aod_mix_67","aod_mix_06",0.86
"aod_mix_68","aod_mix_06",0.836
"aod_mix_69","aod_mix_06",0.813
"aod_mix_70","aod_mix_06",0.802
"aod_mix_71","aod_mix_06",0.84
"aod_mix_72","aod_mix_06",0.833
"aod_mix_73","aod_mix_06",0.831
"aod_mix_74","aod_mix_06",0.826
"aod_mix_01","aod_mix_07",0.973
"aod_mix_02","aod_mix_07",0.974
"aod_mix_03","aod_mix_07",0.977
"aod_mix_04","aod_mix_07",0.982
"aod_mix_05","aod_mix_07",0.985
"aod_mix_06","aod_mix_07",0.99
"aod_mix_07","aod_mix_07",1
