SITE_ID,SITE_NUM,SITE_NAME,LATITUDE,LONGITUDE,STATE,COUNTY,AGENCY,n
PET427,427,Petrified Forest,34.822508,-109.892485,AZ,Navajo,NPS,1007
PIN414,414,Pinnacles NM,36.483235,-121.156876,CA,San Benito,NPS,1144
PND165,165,Pinedale,42.929031,-109.787796,WY,Sublette,EPA,1119
PNF126,126,Cranberry,36.105435,-82.045015,NC,Avery,EPA,1151
POF425,425,Poker Flats - Yukon Flats NM,65.1178,-147.4333,AK,Fairbanks North Star,NPS,208
PRK134,134,Perkinstown,45.206525,-90.597209,WI,Taylor,EPA,1155
PSU106,106,Penn State,40.720902,-77.931759,PA,Centre,EPA,1156
QAK172,172,Quaker City,39.942714,-81.337914,OH,Noble,EPA,1155
RED004,4,"Red Lake Band of Chippewa Indians, Minnesota",47.8638,-94.8352,MN,Beltrami,EPA,393
ROM206,206,Rocky Mtn NP Collocated,40.278129,-105.545635,CO,Larimer,EPA,1072
ROM406,406,Rocky Mtn NP,40.278129,-105.545635,CO,Larimer,NPS,1151
SAL133,133,Salamonie Reservoir,40.816038,-85.661407,IN,Wabash,EPA,1149
SAN189,189,"Santee Sioux Nation, Nebraska",42.829154,-97.854128,NE,Knox,EPA,806
SEK402,402,Sequoia NP - Lookout Pt,36.4292,-118.7625,CA,Tulare,NPS,251
SEK430,430,Sequoia NP - Ash Mountain,36.489469,-118.829153,CA,Tulare,NPS,868
SHE604,604,Sheridan,44.93,-106.85,WY,Sheridan,BLM,476
SHN418,418,Shenandoah NP - Big Meadows,38.5231,-78.43471,VA,Madison,NPS,1150
SND152,152,Sand Mountain,34.289001,-85.970065,AL,DeKalb,EPA,1159
SPD111,111,Speedwell,36.46983,-83.826511,TN,Claiborne,EPA,1160
STK138,138,Stockton,42.287216,-89.99995,IL,Jo Daviess,EPA,1151
SUM156,156,Sumatra,30.110226,-84.99038,FL,Liberty,EPA,1144
THR422,422,Theodore Roosevelt NP,46.894844,-103.377719,ND,Billings,NPS,1142
UMA009,9,Confederated Tribes of the Umatilla Indian Reservation,46.2026,-117.9539,WA,Columbia,EPA,72
UND002,2,Underhill,44.5283,-72.8688,VT,Chittenden,EPA,479
UVL124,124,Unionville,43.613572,-83.359869,MI,Tuscola,EPA,1157
VII423,423,Virgin Islands NP - Lind Pt,18.3364,-64.7964,VI,St. John,NPS,206
VIN140,140,Vincennes,38.740792,-87.484923,IN,Knox,EPA,1159
VOY413,413,Voyageurs NP,48.412518,-92.829225,MN,St. Louis,NPS,1136
VPI120,120,Blue Grass Trail,37.3232,-80.4572,VA,Giles,EPA,1144
WFM007,7,Whiteface Mountain Summit,44.39,-73.86,NY,Essex,EPA,60
WFM105,105,Whiteface Mountain,44.39,-73.86,NY,Essex,EPA,488
WNC429,429,Wind Cave NP,43.557639,-103.483856,SD,Custer,NPS,948
WSP144,144,Wash. Crossing,40.312303,-74.872663,NJ,Mercer,EPA,1153
WST109,109,Woodstock,43.944519,-71.700787,NH,Grafton,EPA,1152
YEL408,408,Yellowstone NP,44.565356,-110.400338,WY,Teton,NPS,1124
YOS404,404,Yosemite NP - Turtleback Dome,37.713251,-119.706196,CA,Mariposa,NPS,1145
