Latitude,Longitude,SiteName,SiteCode,EPACode,n,State.Code,County.Code,Site.Num
37.7009,-94.0348,El Dorado Springs,ELDO1,290390001,1684,29,039,0001
37.7133,-119.7061,Yosemite NP,YOSE1,060430003,3308,06,043,0003
37.7133,-119.7061,Yosemite NP,YOSEX,NA,334,NA,NA,NA
37.7249,-105.5185,Great Sand Dunes NM,GRSA1,080039000,2597,08,003,9000
37.9659,124.6308,Baengnyeong Island,BYIS1,NA,1606,NA,NA,NA
37.9659,124.6308,Baengnyeong Island Co-located A Module,BYISX,NA,155,NA,NA,NA
38.0881,-119.1771,Hoover,HOOV1,060519000,3641,06,051,9000
38.1224,-122.9085,Point Reyes National Seashore,PORE1,060410002,2597,06,041,0002
38.3022,-111.2926,Capitol Reef NP,CAPI1,490559000,2566,49,055,9000
38.4341,-96.5602,Tallgrass,TALL1,200170001,2283,20,017,0001
38.4587,-109.821,Canyonlands NP,CANY1,490379000,2597,49,037,9000
38.5229,-78.4348,Shenandoah NP,SHEN1,511139000,2596,51,113,9000
38.5346,-86.2604,Livonia,LIVO1,181759000,1196,18,175,9000
38.7701,-99.7634,Cedar Bluff,CEBL1,201950001,2314,20,195,0001
38.8762,-77.0344,Washington D.C.,WASH1,110010042,1868,11,001,0042
38.9248,-119.9799,Lake Tahoe Community College,LTCC1,NA,887,NA,NA,NA
38.9519,-118.8146,Walker River Paiute Tribe,WARI1,320219000,295,32,021,9000
38.9761,-120.1025,Bliss SP (TRPA),BLIS1,060179000,2597,06,017,9000
39.0052,-114.2161,Great Basin NP,GRBA1,320339000,2596,32,033,9000
39.1053,-79.4261,Dolly Sods Wilderness,DOSO1,540939000,2596,54,093,9000
39.1536,-106.8209,White River NF,WHRI1,080979000,2596,08,097,9000
39.2547,-76.7093,Baltimore,BALT1,240059000,315,24,005,9000
39.465,-74.4492,Brigantine NWR,BRIG1,340019000,2596,34,001,9000
39.7058,-79.012200000000007,Frostburg Reservoir (Big Piney Run),FRRE1,240239000,4202,24,023,9000
39.9153,-107.6345,Flat Tops,FLTO1,NA,1169,NA,NA,NA
39.9232,-77.3079,Arendtsville,AREN1,420019000,1187,42,001,9000
39.9428,-81.3378,Quaker City,QUCI1,391219000,2455,39,121,9000
